,ad_platform,ad_type,target_gender,target_age_group,target_interests,duration_days,total_budget,Purchase,imp,click
0,Instagram,Image,Male,25-34,travel,47,53936.41,0,1,0
1,Facebook,Video,Male,35-44,news,89,52725.49,0,1,0
2,Instagram,Stories,Male,35-44,"fitness, gaming",57,48832.61,0,1,0
3,Facebook,Image,All,18-24,"food, travel",71,85220.35,0,1,0
4,Instagram,Carousel,Female,All,photography,82,85407.23,0,1,0
5,Facebook,Carousel,All,35-44,fashion,75,46445.2,0,1,0
6,Facebook,Carousel,Female,18-24,news,59,24021.32,0,1,0
7,Facebook,Carousel,All,35-44,finance,36,71038.28,0,1,0
8,Instagram,Image,Female,35-44,"finance, lifestyle",64,37290.81,0,1,0
9,Facebook,Image,All,18-24,news,87,59264.68,0,1,0
10,Facebook,Video,All,35-44,"fitness, lifestyle",60,26104.3,0,1,0
11,Facebook,Stories,Female,All,"health, food",84,78607.49,0,1,0
12,Facebook,Stories,Female,18-24,"sports, finance",56,14343.25,0,1,1
13,Facebook,Stories,Female,18-24,news,87,59264.68,0,1,1
14,Facebook,Carousel,Female,18-24,news,59,24021.32,0,1,0
15,Facebook,Video,Male,25-34,"travel, technology",82,19773.66,0,1,1
16,Facebook,Carousel,Male,18-24,photography,75,46445.2,0,1,0
17,Instagram,Stories,All,35-44,"fitness, lifestyle",85,28962.34,0,1,0
18,Instagram,Image,Female,18-24,"finance, lifestyle",87,86675.92,0,1,0
19,Facebook,Video,All,35-44,food,82,85407.23,0,1,0
20,Instagram,Stories,All,35-44,art,48,68376.69,0,1,0
21,Facebook,Image,All,18-24,sports,87,86675.92,0,1,0
22,Instagram,Image,Female,18-24,"fitness, finance",82,85407.23,0,1,1
23,Facebook,Carousel,All,35-44,"gaming, travel",89,94023.76,0,1,0
24,Facebook,Carousel,All,25-34,art,36,71038.28,0,1,0
25,Instagram,Image,Female,35-44,"finance, lifestyle",64,37290.81,0,1,0
26,Instagram,Carousel,All,35-44,"technology, travel",65,19669.27,0,1,0
27,Facebook,Carousel,All,25-34,technology,73,21855.42,0,1,0
28,Facebook,Video,All,All,"health, art",82,19773.66,0,1,0
29,Facebook,Video,Female,35-44,news,50,39849.94,0,1,0
